機構名稱,縣市別代碼,行政區域代碼,街道項弄號,負責人,電話
"森美牙醫診所","10018","10018020","大同里中正路111號1樓、2樓","李森孟","(03)5260203"
"黃啟祥牙醫診所","10018","10018020","和福街105號","黃啟祥","(03)5269095"
"福華牙醫診所","10018","10018020","育英里四維路54號1樓","吳英法","(03)5262345"
"親民牙醫診所","10018","10018020","竹光路２１號","黃宏正","(03)5427027"
"如意牙醫診所","10018","10018020","光田里水田街131號","呂正德","(03)5422765"
"僑霖牙醫診所","10018","10018020","水田街１２０號","潘瑞誠","(03)5330060"
"經典牙醫診所","10018","10018020","海濱里西濱路一段345號1樓","彭奕炘","(03)5366111"
"博悅牙醫診所","10018","10018020","水田里演藝路25號B1","盧中達","(03)5424303"
"里昂哈佛國際牙醫診所","10018","10018020","北門里北大路192號","沈文彬","(03)5256030"
"彼德潘牙醫診所","10018","10018020","武陵里武陵路82號1樓","曾淑萍","(03)5408285"
"九歌牙醫診所","10018","10018020","武陵里東大路2段188號","遲玉堃","(03)5341616"
"銘燦牙醫診所","10018","10018020","北大路１６0號一樓","陳銘燦","(03)5322345"
"創美牙醫診所","10018","10018020","客雅里經國路二段543號","藍鴻文","(03)5285335"
"博暘牙醫診所","10018","10018020","中正路３８６號","麥正賢","(03)5356805"
"康橋牙醫診所","10018","10018020","光華一街10號","吳令琪","(03)5339722"
"琉璃光牙醫診所","10018","10018020","新民里北大路256號1樓","蘇東隆","(03)5222131"
"安定牙醫診所","10018","10018020","金竹里金竹路150號","胡世輝","(03)5314307"
"光華牙醫診所","10018","10018020","光華一街60號","陳淑純","(03)5312420"
"永川牙醫診所","10018","10018020","光華南街54之2號1樓","陳尚文","(03)5326326"
"謝牙醫診所","10018","10018020","城北街一三九號","謝東榮","(03)5439395"
"全家牙醫診所","10018","10018020","武陵里武陵路73巷6號1樓","林語","(03)5409188"
"雅緻生活牙醫診所","10018","10018020","光田里水田街51號1樓、2樓","林裕斌","(03)5356505"
"馨典牙醫診所","10018","10018020","北門里民富街39號、41號","何宜威","(03)5251977"
"陳清龍牙醫診所","10018","10018020","中山路183號","陳清龍","(03)5220899"
"懷仁牙醫診所","10018","10018020","磐石路３５號","林懷仁","(03)5268510"
